atco_code,name,announcement_name,severity,flags,line2_shows,line3_shows,line2_over_px,line3_over_px,suggested_value,suggestion_kind,your_value
270002701124,"Kings Head Inn, Church Road, Freiston","Kings Head Inn, Church Road, Freiston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Kings Head Inn,"Church Road, Freiston",142.1849365234375,869.36474609375,"Freiston,Kings Head Inn, Church Road",reorder,
2700LKEP6195,Kirton End Post Office (SW-bound),"Kirton End, Post Office (SW-bound)",warn,comma-space indicator,Kirton End,Post Office,0,0,"Kirton End,Post Office (SW-bound)",tidy,
2700LBC00653,Blackjack Crossroads (N-bound),"Kirton End,Blackjack X Roads",warn,abbreviation stop-scrolls,Kirton End,Blackjack X Roads,0,477.775146484375,,,
2700LKH00315,"Kirton Holme Road, Boston Road","Kirton Holme Road, Boston Road",warn,unreviewed-copy comma-space town-scrolls,Kirton Holme Road,Boston Road,511.455810546875,0,"Boston Road,Kirton Holme Road",reorder,
270000008785,"Kirton Holme, adj Fenhouses Drove","Kirton Holme,Fenhouses Drove",warn,stop-scrolls,Kirton Holme,Fenhouses Drove,0,373.385009765625,,,
270000008786,"Kirton Holme, opp Fenhouses Drove","Kirton Holme,Fenhouses Drove",warn,stop-scrolls,Kirton Holme,Fenhouses Drove,0,373.385009765625,,,
2700LDPS1706,Primary School (adj),"Kirton,Primary School",warn,stop-scrolls,Kirton,Primary School,0,154.15576171875,,,
270000010590,Middlecott School,"KIrton,Thomas Middlecott",warn,odd-capitals stop-scrolls,KIrton,Thomas Middlecott,0,523.020751953125,"Kirton,Thomas Middlecott",tidy,
270000008838,"Kirton, adj Woodlands Court","Kirton,Woodlands Court",warn,stop-scrolls,Kirton,Woodlands Court,0,357.356201171875,,,
270000008837,"Woodlands Court, Boston Road, Kirton","Kirton,Woodlands Court",warn,stop-scrolls,Kirton,Woodlands Court,0,357.356201171875,,,
270000008782,"Leonard Cottages, Swineshead Road","Leonard Cottages, Swineshead Road",warn,unreviewed-copy comma-space town-scrolls stop-scrolls,Leonard Cottages,Swineshead Road,396.2108154296875,407.978759765625,"Swineshead Road,Leonard Cottages",reorder,
,"Lincoln Road, opp Retail Park, Peterborough","Lincoln Road,Retail Park, Peterborough",warn,multiple-commas stop-scrolls,Lincoln Road,"Retail Park, Peterborough",0,1181.5205078125,,,
270000009290,"Mill Inn, Spilsby Road, Boston","Mill Inn, Spilsby Road, Boston",warn,unreviewed-copy multiple-commas comma-space stop-scrolls,Mill Inn,"Spilsby Road, Boston",0,777.046875,"Boston,Mill Inn, Spilsby Road",reorder,
270000009365,"Monteith Crescent, Tower Road, Boston","Monteith Crescent, Tower Road, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Monteith Crescent,"Tower Road, Boston",442.36962890625,634.5120849609375,"Boston,Monteith Crescent, Tower Road",reorder,
,"Norfolk Street, Boston","Norfolk Street, Boston",warn,unreviewed-copy comma-space town-scrolls,Norfolk Street,Boston,3.8096923828125,0,"Boston,Norfolk Street",reorder,
270000008874,"Northorpe, adj Browntoft Lane","Northorpe,Browntoft Lane",warn,stop-scrolls,Northorpe,Browntoft Lane,0,153.445556640625,,,
270000008875,"Northorpe, opp Browntoft Lane","Northorpe,Browntoft Lane",warn,stop-scrolls,Northorpe,Browntoft Lane,0,153.445556640625,,,
270000008873,"Northorpe, adj Church Street","Northorpe,Church Street",warn,stop-scrolls,Northorpe,Church Street,0,3.8096923828125,,,
270000008872,"Northorpe, opp Church Street","Northorpe,Church Street",warn,stop-scrolls,Northorpe,Church Street,0,3.8096923828125,,,
270000009221,"Occupation Lane, New Bolingbroke","Occupation Lane, New Bolingbroke",warn,unreviewed-copy comma-space town-scrolls stop-scrolls,Occupation Lane,New Bolingbroke,315.458251953125,326.9217529296875,"New Bolingbroke,Occupation Lane",reorder,
2700LWPP0032,"Pincushion Inn, London Road, Wyberton","Pincushion Inn, London Road, Wyberton",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Pincushion Inn,"London Road, Wyberton",118.9532470703125,1038.275634765625,"Wyberton,Pincushion Inn, London Road",reorder,
,"Primary School, Butterwick","Primary School, Butterwick",warn,unreviewed-copy comma-space town-scrolls,Primary School,Butterwick,154.15576171875,0,"Butterwick,Primary School",reorder,
2700LSP05495,"Primary School, Main Road, Stickney","Primary School, Main Road, Stickney",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Primary School,"Main Road, Stickney",154.15576171875,650.439697265625,"Stickney,Primary School, Main Road",reorder,
270000009390,"Quakers Lane, John Adams Way, Boston","Quakers Lane, John Adams Way, Boston",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Quakers Lane,"John Adams Way, Boston",4.215576171875,1169.548828125,"Boston,Quakers Lane, John Adams Way",reorder,
